Comunidad,Pfizer,Moderna,AstraZeneca,Janssen,Entregadas,Administradas,PercAdministradas,Personas1Dosis,Personas2Dosis,fecha,Poblacion,percvacunados
Andalucía,NA,NA,NA,NA,140295,53934,38.4,NA,NA,2021-01-07,8464411,NA
Aragón,NA,NA,NA,NA,23715,6186,26.1,NA,NA,2021-01-07,1329391,NA
Cantabria,NA,NA,NA,NA,11850,1564,13.2,NA,NA,2021-01-07,582905,NA
Castilla y León,NA,NA,NA,NA,51390,22103,43,NA,NA,2021-01-07,2394918,NA
Castilla-La Mancha,NA,NA,NA,NA,35550,7666,21.6,NA,NA,2021-01-07,2045221,NA
Cataluña,NA,NA,NA,NA,120545,24515,20.3,NA,NA,2021-01-07,7780479,NA
Ceuta,NA,NA,NA,NA,1005,576,57.3,NA,NA,2021-01-07,84202,NA
Comunidad de Madrid,NA,NA,NA,NA,98790,11337,11.5,NA,NA,2021-01-07,6779888,NA
Comunidad Foral de Navarra,NA,NA,NA,NA,11850,2960,25,NA,NA,2021-01-07,661197,NA
Comunidad Valenciana,NA,NA,NA,NA,61225,11677,19.1,NA,NA,2021-01-07,5057353,NA
Extremadura,NA,NA,NA,NA,21725,3309,15.2,NA,NA,2021-01-07,1063987,NA
Galicia,NA,NA,NA,NA,37555,20265,54,NA,NA,2021-01-07,2701819,NA
Islas Baleares,NA,NA,NA,NA,12840,3190,24.8,NA,NA,2021-01-07,1171543,NA
Islas Canarias,NA,NA,NA,NA,27660,7330,26.5,NA,NA,2021-01-07,2175952,NA
La Rioja,NA,NA,NA,NA,5915,858,14.5,NA,NA,2021-01-07,319914,NA
Melilla,NA,NA,NA,NA,1005,426,42.4,NA,NA,2021-01-07,87076,NA
País Vasco,NA,NA,NA,NA,31605,7734,24.5,NA,NA,2021-01-07,2220504,NA
Principado de Asturias,NA,NA,NA,NA,23720,14406,60.7,NA,NA,2021-01-07,1018784,NA
Región de Murcia,NA,NA,NA,NA,25685,7287,28.4,NA,NA,2021-01-07,1511251,NA
Andalucía,NA,NA,NA,NA,140295,69445,49.5,NA,NA,2021-01-08,8464411,NA
Aragón,NA,NA,NA,NA,23715,9944,41.9,NA,NA,2021-01-08,1329391,NA
Cantabria,NA,NA,NA,NA,11850,2334,19.7,NA,NA,2021-01-08,582905,NA
Castilla y León,NA,NA,NA,NA,51390,28325,55.1,NA,NA,2021-01-08,2394918,NA
Castilla-La Mancha,NA,NA,NA,NA,35550,12380,34.8,NA,NA,2021-01-08,2045221,NA
Cataluña,NA,NA,NA,NA,120545,38826,32.2,NA,NA,2021-01-08,7780479,NA
Ceuta,NA,NA,NA,NA,1005,637,63.4,NA,NA,2021-01-08,84202,NA
Comunidad de Madrid,NA,NA,NA,NA,98790,14152,14.3,NA,NA,2021-01-08,6779888,NA
Comunidad Foral de Navarra,NA,NA,NA,NA,11850,3703,31.2,NA,NA,2021-01-08,661197,NA
Comunidad Valenciana,NA,NA,NA,NA,61225,15965,26.1,NA,NA,2021-01-08,5057353,NA
Extremadura,NA,NA,NA,NA,21725,4727,21.8,NA,NA,2021-01-08,1063987,NA
Galicia,NA,NA,NA,NA,37555,24750,65.9,NA,NA,2021-01-08,2701819,NA
Islas Baleares,NA,NA,NA,NA,12840,4257,33.2,NA,NA,2021-01-08,1171543,NA
Islas Canarias,NA,NA,NA,NA,27660,9572,34.6,NA,NA,2021-01-08,2175952,NA
La Rioja,NA,NA,NA,NA,5915,1674,28.3,NA,NA,2021-01-08,319914,NA
Melilla,NA,NA,NA,NA,1005,673,67,NA,NA,2021-01-08,87076,NA
País Vasco,NA,NA,NA,NA,31605,9811,31,NA,NA,2021-01-08,2220504,NA
Principado de Asturias,NA,NA,NA,NA,23720,17843,75.2,NA,NA,2021-01-08,1018784,NA
Región de Murcia,NA,NA,NA,NA,25685,8958,34.9,NA,NA,2021-01-08,1511251,NA
Andalucía,NA,NA,NA,NA,140295,81387,58,NA,NA,2021-01-11,8464411,NA
Aragón,NA,NA,NA,NA,23715,10998,46.4,NA,NA,2021-01-11,1329391,NA
Cantabria,NA,NA,NA,NA,11850,8474,71.5,NA,NA,2021-01-11,582905,NA
Castilla y León,NA,NA,NA,NA,51390,36205,70.5,NA,NA,2021-01-11,2394918,NA
Castilla-La Mancha,NA,NA,NA,NA,35550,19209,54,NA,NA,2021-01-11,2045221,NA
Cataluña,NA,NA,NA,NA,120545,68405,56.7,NA,NA,2021-01-11,7780479,NA
Ceuta,NA,NA,NA,NA,1005,698,69.5,NA,NA,2021-01-11,84202,NA
Comunidad de Madrid,NA,NA,NA,NA,98790,24897,25.2,NA,NA,2021-01-11,6779888,NA
Comunidad Foral de Navarra,NA,NA,NA,NA,11850,5468,46.1,NA,NA,2021-01-11,661197,NA
Comunidad Valenciana,NA,NA,NA,NA,61225,45674,74.6,NA,NA,2021-01-11,5057353,NA
Extremadura,NA,NA,NA,NA,21725,9303,42.8,NA,NA,2021-01-11,1063987,NA
Galicia,NA,NA,NA,NA,37555,30418,81,NA,NA,2021-01-11,2701819,NA
Islas Baleares,NA,NA,NA,NA,12840,4652,36.2,NA,NA,2021-01-11,1171543,NA
Islas Canarias,NA,NA,NA,NA,27660,13607,49.2,NA,NA,2021-01-11,2175952,NA
La Rioja,NA,NA,NA,NA,5915,3457,58.4,NA,NA,2021-01-11,319914,NA
Melilla,NA,NA,NA,NA,1005,832,82.8,NA,NA,2021-01-11,87076,NA
País Vasco,NA,NA,NA,NA,31605,13103,41.5,NA,NA,2021-01-11,2220504,NA
Principado de Asturias,NA,NA,NA,NA,23720,18943,79.9,NA,NA,2021-01-11,1018784,NA
Región de Murcia,NA,NA,NA,NA,25685,10361,40.3,NA,NA,2021-01-11,1511251,NA
Andalucía,NA,NA,NA,NA,140295,94879,67.6,NA,NA,2021-01-12,8464411,NA
Aragón,NA,NA,NA,NA,23715,11983,50.5,NA,NA,2021-01-12,1329391,NA
Cantabria,NA,NA,NA,NA,11850,9527,80.4,NA,NA,2021-01-12,582905,NA
Castilla y León,NA,NA,NA,NA,51390,41340,80.4,NA,NA,2021-01-12,2394918,NA
Castilla-La Mancha,NA,NA,NA,NA,35550,23342,65.7,NA,NA,2021-01-12,2045221,NA
Cataluña,NA,NA,NA,NA,120545,82785,68.7,NA,NA,2021-01-12,7780479,NA
Ceuta,NA,NA,NA,NA,1005,758,75.4,NA,NA,2021-01-12,84202,NA
Comunidad de Madrid,NA,NA,NA,NA,98790,35949,36.4,NA,NA,2021-01-12,6779888,NA
Comunidad Foral de Navarra,NA,NA,NA,NA,11850,6557,55.3,NA,NA,2021-01-12,661197,NA
Comunidad Valenciana,NA,NA,NA,NA,61225,57223,93.5,NA,NA,2021-01-12,5057353,NA
Extremadura,NA,NA,NA,NA,21725,11346,52.2,NA,NA,2021-01-12,1063987,NA
Galicia,NA,NA,NA,NA,37555,33346,88.8,NA,NA,2021-01-12,2701819,NA
Islas Baleares,NA,NA,NA,NA,12840,4835,37.7,NA,NA,2021-01-12,1171543,NA
Islas Canarias,NA,NA,NA,NA,27660,15328,55.4,NA,NA,2021-01-12,2175952,NA
La Rioja,NA,NA,NA,NA,5915,3826,64.7,NA,NA,2021-01-12,319914,NA
Melilla,NA,NA,NA,NA,1005,1005,100,NA,NA,2021-01-12,87076,NA
País Vasco,NA,NA,NA,NA,31605,15393,48.7,NA,NA,2021-01-12,2220504,NA
Principado de Asturias,NA,NA,NA,NA,23720,22428,94.6,NA,NA,2021-01-12,1018784,NA
Región de Murcia,NA,NA,NA,NA,25685,16191,63,NA,NA,2021-01-12,1511251,NA
Andalucía,NA,NA,NA,NA,209520,109831,52.4,NA,NA,2021-01-13,8464411,NA
Aragón,NA,NA,NA,NA,35415,17043,48.1,NA,NA,2021-01-13,1329391,NA
Cantabria,NA,NA,NA,NA,17700,11302,63.9,NA,NA,2021-01-13,582905,NA
Castilla y León,NA,NA,NA,NA,76740,48243,62.9,NA,NA,2021-01-13,2394918,NA
Castilla-La Mancha,NA,NA,NA,NA,53100,26879,50.6,NA,NA,2021-01-13,2045221,NA
Cataluña,NA,NA,NA,NA,180020,92133,51.2,NA,NA,2021-01-13,7780479,NA
Ceuta,NA,NA,NA,NA,1005,820,81.6,NA,NA,2021-01-13,84202,NA
Comunidad de Madrid,NA,NA,NA,NA,147540,49228,33.4,NA,NA,2021-01-13,6779888,NA
Comunidad Foral de Navarra,NA,NA,NA,NA,17700,7420,41.9,NA,NA,2021-01-13,661197,NA
Comunidad Valenciana,NA,NA,NA,NA,91450,70870,77.5,NA,NA,2021-01-13,5057353,NA
Extremadura,NA,NA,NA,NA,32450,14293,44,NA,NA,2021-01-13,1063987,NA
Galicia,NA,NA,NA,NA,56080,37745,67.3,NA,NA,2021-01-13,2701819,NA
Islas Baleares,NA,NA,NA,NA,12840,4931,38.4,NA,NA,2021-01-13,1171543,NA
Islas Canarias,NA,NA,NA,NA,41310,22290,54,NA,NA,2021-01-13,2175952,NA
La Rioja,NA,NA,NA,NA,8840,4651,52.6,NA,NA,2021-01-13,319914,NA
Melilla,NA,NA,NA,NA,1005,1005,100,NA,NA,2021-01-13,87076,NA
País Vasco,NA,NA,NA,NA,47205,17771,37.6,NA,NA,2021-01-13,2220504,NA
Principado de Asturias,NA,NA,NA,NA,35420,25278,71.4,NA,NA,2021-01-13,1018784,NA
Región de Murcia,NA,NA,NA,NA,38360,19905,51.9,NA,NA,2021-01-13,1511251,NA
Andalucía,209520,6800,NA,NA,216320,123459,57.1,NA,NA,2021-01-14,8464411,NA
Aragón,35415,1200,NA,NA,36615,20854,57,NA,NA,2021-01-14,1329391,NA
Cantabria,17700,500,NA,NA,18200,12779,70.2,NA,NA,2021-01-14,582905,NA
Castilla y León,76740,2500,NA,NA,79240,57969,73.2,NA,NA,2021-01-14,2394918,NA
Castilla-La Mancha,53100,1700,NA,NA,54800,30613,55.9,NA,NA,2021-01-14,2045221,NA
Cataluña,180020,5800,NA,NA,185820,105587,56.8,NA,NA,2021-01-14,7780479,NA
Ceuta,1005,200,NA,NA,1205,911,75.6,NA,NA,2021-01-14,84202,NA
Comunidad de Madrid,147540,4700,NA,NA,152240,63385,41.6,NA,NA,2021-01-14,6779888,NA
Comunidad Foral de Navarra,17700,500,NA,NA,18200,8314,45.7,NA,NA,2021-01-14,661197,NA
Comunidad Valenciana,91450,2900,NA,NA,94350,80429,85.2,NA,NA,2021-01-14,5057353,NA
Extremadura,32450,1000,NA,NA,33450,17862,53.4,NA,NA,2021-01-14,1063987,NA
Galicia,56080,1800,NA,NA,57880,44014,76,NA,NA,2021-01-14,2701819,NA
Islas Baleares,12840,600,NA,NA,13440,7552,56.2,NA,NA,2021-01-14,1171543,NA
Islas Canarias,41310,1300,NA,NA,42610,25159,59,NA,NA,2021-01-14,2175952,NA
La Rioja,8840,200,NA,NA,9040,5385,59.6,NA,NA,2021-01-14,319914,NA
Melilla,1005,200,NA,NA,1205,1098,91.1,NA,NA,2021-01-14,87076,NA
País Vasco,47205,1400,NA,NA,48605,20003,41.2,NA,NA,2021-01-14,2220504,NA
Principado de Asturias,35420,1200,NA,NA,36620,29074,79.4,NA,NA,2021-01-14,1018784,NA
Región de Murcia,38360,1200,NA,NA,39560,21739,55,NA,NA,2021-01-14,1511251,NA
Andalucía,209520,6800,NA,NA,216320,139718,64.6,NA,NA,2021-01-15,8464411,NA
Aragón,35415,1200,NA,NA,36615,23619,64.5,NA,NA,2021-01-15,1329391,NA
Cantabria,17700,500,NA,NA,18200,14639,80.4,NA,NA,2021-01-15,582905,NA
Castilla y León,76740,2500,NA,NA,79240,59411,75,NA,NA,2021-01-15,2394918,NA
Castilla-La Mancha,53100,1700,NA,NA,54800,33809,61.7,NA,NA,2021-01-15,2045221,NA
Cataluña,180020,5800,NA,NA,185820,122577,66,NA,NA,2021-01-15,7780479,NA
Ceuta,1005,200,NA,NA,1205,941,78.1,NA,NA,2021-01-15,84202,NA
Comunidad de Madrid,147540,4700,NA,NA,152240,77921,51.2,NA,NA,2021-01-15,6779888,NA
Comunidad Foral de Navarra,17700,500,NA,NA,18200,9305,51.1,NA,NA,2021-01-15,661197,NA
Comunidad Valenciana,91450,2900,NA,NA,94350,86927,92.1,NA,NA,2021-01-15,5057353,NA
Extremadura,32450,1000,NA,NA,33450,22322,66.7,NA,NA,2021-01-15,1063987,NA
Galicia,56080,1800,NA,NA,57880,49768,86,NA,NA,2021-01-15,2701819,NA
Islas Baleares,12840,600,NA,NA,13440,9366,69.7,NA,NA,2021-01-15,1171543,NA
Islas Canarias,41310,1300,NA,NA,42610,30732,72.1,NA,NA,2021-01-15,2175952,NA
La Rioja,8840,200,NA,NA,9040,5953,65.9,NA,NA,2021-01-15,319914,NA
Melilla,1005,200,NA,NA,1205,1230,102.1,NA,NA,2021-01-15,87076,NA
País Vasco,47205,1400,NA,NA,48605,22464,46.2,NA,NA,2021-01-15,2220504,NA
Principado de Asturias,35420,1200,NA,NA,36620,31247,85.3,NA,NA,2021-01-15,1018784,NA
Región de Murcia,38360,1200,NA,NA,39560,27001,68.3,NA,NA,2021-01-15,1511251,NA
Andalucía,209520,6800,NA,NA,216320,151404,70,NA,533,2021-01-18,8464411,6.296953207966863e-5
Aragón,35415,1200,NA,NA,36615,25133,68.6,NA,0,2021-01-18,1329391,0
Cantabria,17700,500,NA,NA,18200,17724,97.4,NA,0,2021-01-18,582905,0
Castilla y León,76740,2500,NA,NA,79240,67079,84.7,NA,124,2021-01-18,2394918,5.1776302988244276e-5
Castilla-La Mancha,53100,1700,NA,NA,54800,38321,69.9,NA,0,2021-01-18,2045221,0
Cataluña,180020,5800,NA,NA,185820,145073,78.1,NA,167,2021-01-18,7780479,2.1463974133212108e-5
Ceuta,1005,200,NA,NA,1205,981,81.4,NA,29,2021-01-18,84202,3.4440987149948933e-4
Comunidad de Madrid,147540,4700,NA,NA,152240,104490,68.6,NA,476,2021-01-18,6779888,7.020764944789649e-5
Comunidad Foral de Navarra,17700,500,NA,NA,18200,11834,65,NA,0,2021-01-18,661197,0
Comunidad Valenciana,91450,2900,NA,NA,94350,93695,99.3,NA,152,2021-01-18,5057353,3.0055248269203277e-5
Extremadura,32450,1000,NA,NA,33450,27613,82.6,NA,0,2021-01-18,1063987,0
Galicia,56080,1800,NA,NA,57880,56481,97.6,NA,150,2021-01-18,2701819,5.551815277041134e-5
Islas Baleares,16740,600,NA,NA,17340,13750,79.3,NA,155,2021-01-18,1171543,1.3230414931419504e-4
Islas Canarias,41310,1300,NA,NA,42610,42113,98.8,NA,327,2021-01-18,2175952,1.5027905027316778e-4
La Rioja,8840,200,NA,NA,9040,7761,85.9,NA,0,2021-01-18,319914,0
Melilla,1005,200,NA,NA,1205,1289,107,NA,0,2021-01-18,87076,0
País Vasco,47205,1400,NA,NA,48605,25526,52.5,NA,0,2021-01-18,2220504,0
Principado de Asturias,35420,1200,NA,NA,36620,33572,91.7,NA,202,2021-01-18,1018784,1.982755912931495e-4
Región de Murcia,38360,1200,NA,NA,39560,34103,86.2,NA,0,2021-01-18,1511251,0
Andalucía,209520,6800,NA,NA,216320,164820,76.2,NA,1773,2021-01-19,8464411,2.0946525399109282e-4
Aragón,35415,1200,NA,NA,36615,28316,77.3,NA,250,2021-01-19,1329391,1.880560346805417e-4
Cantabria,17700,500,NA,NA,18200,18967,104.2,NA,0,2021-01-19,582905,0
Castilla y León,76740,2500,NA,NA,79240,70885,89.5,NA,432,2021-01-19,2394918,1.8038195879775424e-4
Castilla-La Mancha,53100,1700,NA,NA,54800,43682,79.7,NA,189,2021-01-19,2045221,9.241055123138282e-5
Cataluña,180020,5800,NA,NA,185820,156627,84.3,NA,432,2021-01-19,7780479,5.5523573805674433e-5
Ceuta,1005,200,NA,NA,1205,1080,89.6,NA,29,2021-01-19,84202,3.4440987149948933e-4
Comunidad de Madrid,147540,4700,NA,NA,152240,120168,78.9,NA,719,2021-01-19,6779888,1.0604894948117136e-4
Comunidad Foral de Navarra,17700,500,NA,NA,18200,12991,71.4,NA,299,2021-01-19,661197,4.522101582433072e-4
Comunidad Valenciana,91450,2900,NA,NA,94350,95260,101,NA,588,2021-01-19,5057353,1.1626635514665478e-4
Extremadura,32450,1000,NA,NA,33450,29125,87.1,NA,254,2021-01-19,1063987,2.387247212606921e-4
Galicia,56080,1800,NA,NA,57880,57871,99.98,NA,1191,2021-01-19,2701819,4.4081413299706604e-4
Islas Baleares,16740,600,NA,NA,17340,14658,84.5,NA,164,2021-01-19,1171543,1.3998632572598702e-4
Islas Canarias,41310,1300,NA,NA,42610,43209,101.4,NA,339,2021-01-19,2175952,1.5579387780612807e-4
La Rioja,8840,200,NA,NA,9040,8049,89,NA,44,2021-01-19,319914,1.3753696305882207e-4
Melilla,1005,200,NA,NA,1205,1297,107.6,NA,29,2021-01-19,87076,3.3304239974275347e-4
País Vasco,47205,1400,NA,NA,48605,28069,57.7,NA,390,2021-01-19,2220504,1.756358016017985e-4
Principado de Asturias,35420,1200,NA,NA,36620,34293,93.6,NA,1285,2021-01-19,1018784,0.0012613075980777084
Región de Murcia,38360,1200,NA,NA,39560,36730,92.8,NA,934,2021-01-19,1511251,6.180310219811269e-4
Andalucía,244620,6800,NA,NA,251420,174279,69.3,NA,4568,2021-01-20,8464411,5.396713368478917e-4
Aragón,41265,1200,NA,NA,42465,33734,79.4,NA,623,2021-01-20,1329391,4.686356384239099e-4
Cantabria,20625,500,NA,NA,21125,19473,92.2,NA,0,2021-01-20,582905,0
Castilla y León,93315,2500,NA,NA,95815,74350,77.6,NA,633,2021-01-20,2394918,2.64309675738376e-4
Castilla-La Mancha,61875,1700,NA,NA,63575,48755,76.7,NA,195,2021-01-20,2045221,9.53442195244426e-5
Cataluña,211220,5800,NA,NA,217020,162830,75,NA,913,2021-01-20,7780479,1.1734496038097397e-4
Ceuta,1980,200,NA,NA,2180,1110,50.9,NA,29,2021-01-20,84202,3.4440987149948933e-4
Comunidad de Madrid,171915,4700,NA,NA,176615,129194,73.2,NA,812,2021-01-20,6779888,1.1976599023464694e-4
Comunidad Foral de Navarra,20625,500,NA,NA,21125,14559,68.9,NA,503,2021-01-20,661197,7.607415036668346e-4
Comunidad Valenciana,109000,2900,NA,NA,111900,99932,89.3,NA,1737,2021-01-20,5057353,3.434603042342506e-4
Extremadura,39275,1000,NA,NA,40275,30941,76.8,NA,254,2021-01-20,1063987,2.387247212606921e-4
Galicia,66805,1800,NA,NA,68605,59104,86.2,NA,1197,2021-01-20,2701819,4.430348591078825e-4
Islas Baleares,22590,600,NA,NA,23190,15697,67.7,NA,167,2021-01-20,1171543,1.4254705119658433e-4
Islas Canarias,46185,1300,NA,NA,47485,43599,91.8,NA,339,2021-01-20,2175952,1.5579387780612807e-4
La Rioja,11765,200,NA,NA,11965,8335,69.7,NA,44,2021-01-20,319914,1.3753696305882207e-4
Melilla,1980,200,NA,NA,2180,1326,60.8,NA,29,2021-01-20,87076,3.3304239974275347e-4
País Vasco,55980,1400,NA,NA,57380,33523,58.4,NA,390,2021-01-20,2220504,1.756358016017985e-4
Principado de Asturias,44195,1200,NA,NA,45395,36054,79.4,NA,1687,2021-01-20,1018784,0.0016558956559977384
Región de Murcia,45185,1200,NA,NA,46385,39142,84.4,NA,1522,2021-01-20,1511251,0.0010071126503803803
Andalucía,244620,6800,NA,NA,251420,194101,77.2,NA,15193,2021-01-21,8464411,0.0017949270185486032
Aragón,41265,1200,NA,NA,42465,38170,89.9,NA,1731,2021-01-21,1329391,0.0013020999841280706
Cantabria,20625,500,NA,NA,21125,19980,94.6,NA,241,2021-01-21,582905,4.1344644496101425e-4
Castilla y León,93315,2500,NA,NA,95815,82162,85.8,NA,5296,2021-01-21,2394918,0.002211349198594691
Castilla-La Mancha,61875,1700,NA,NA,63575,53880,84.8,NA,1202,2021-01-21,2045221,5.877115480429744e-4
Cataluña,211220,5800,NA,NA,217020,168054,77.4,NA,2598,2021-01-21,7780479,3.339126035813476e-4
Ceuta,1980,200,NA,NA,2180,1545,70.9,NA,326,2021-01-21,84202,0.00387164200375288
Comunidad de Madrid,171915,4700,NA,NA,176615,142765,80.8,NA,1738,2021-01-21,6779888,2.5634641752194135e-4
Comunidad Foral de Navarra,20625,500,NA,NA,21125,15754,74.6,NA,767,2021-01-21,661197,0.0011600173624502228
Comunidad Valenciana,109000,2900,NA,NA,111900,101437,90.6,NA,2956,2021-01-21,5057353,5.844954860774005e-4
Extremadura,39275,1000,NA,NA,40275,32039,79.6,NA,638,2021-01-21,1063987,5.996313864737069e-4
Galicia,66805,1800,NA,NA,68605,62011,90.4,NA,3861,2021-01-21,2701819,0.0014290372523103878
Islas Baleares,22590,600,NA,NA,23190,18105,78.1,NA,1514,2021-01-21,1171543,0.0012923127874947826
Islas Canarias,46185,1300,NA,NA,47485,45482,95.8,NA,1744,2021-01-21,2175952,8.014882681235616e-4
La Rioja,11765,200,NA,NA,11965,8684,72.6,NA,267,2021-01-21,319914,8.345992985614884e-4
Melilla,1980,200,NA,NA,2180,1500,68.8,NA,203,2021-01-21,87076,0.002331296798199274
País Vasco,55980,1400,NA,NA,57380,36864,64.2,NA,1333,2021-01-21,2220504,6.003141629107626e-4
Principado de Asturias,44195,1200,NA,NA,45395,40011,88.1,NA,5664,2021-01-21,1018784,0.005559569054873261
Región de Murcia,45185,1200,NA,NA,46385,40757,87.9,NA,1784,2021-01-21,1511251,0.0011804789541909318
Andalucía,244620,6800,NA,NA,251420,209766,83.4,NA,20846,2021-01-22,8464411,0.002462782112068991
Aragón,41265,1200,NA,NA,42465,41287,97.2,NA,2165,2021-01-22,1329391,0.001628565260333491
Cantabria,20625,500,NA,NA,21125,20462,96.9,NA,241,2021-01-22,582905,4.1344644496101425e-4
Castilla y León,93315,2500,NA,NA,95815,86370,90.1,NA,6060,2021-01-22,2394918,0.002530358033135164
Castilla-La Mancha,61875,1700,NA,NA,63575,57031,89.7,NA,1593,2021-01-22,2045221,7.788889318073695e-4
Cataluña,211220,5800,NA,NA,217020,173147,79.8,NA,4101,2021-01-22,7780479,5.270883707802566e-4
Ceuta,1980,200,NA,NA,2180,1641,75.3,NA,373,2021-01-22,84202,0.0044298235196313625
Comunidad de Madrid,171915,4700,NA,NA,176615,154778,87.6,NA,2263,2021-01-22,6779888,3.33781325001239e-4
Comunidad Foral de Navarra,20625,500,NA,NA,21125,16310,77.2,NA,807,2021-01-22,661197,0.0012205137046901301
Comunidad Valenciana,109000,2900,NA,NA,111900,103426,92.4,NA,4139,2021-01-22,5057353,8.184123196462655e-4
Extremadura,39275,1000,NA,NA,40275,32979,81.9,NA,638,2021-01-22,1063987,5.996313864737069e-4
Galicia,66805,1800,NA,NA,68605,65394,95.3,NA,7204,2021-01-22,2701819,0.002666351817053622
Islas Baleares,22590,600,NA,NA,23190,20499,88.4,NA,2660,2021-01-22,1171543,0.00227050991726296
Islas Canarias,46185,1300,NA,NA,47485,47068,99.1,NA,2865,2021-01-22,2175952,0.0013166650734942682
La Rioja,11765,200,NA,NA,11965,8967,74.9,NA,317,2021-01-22,319914,9.908913020374225e-4
Melilla,1980,200,NA,NA,2180,1500,68.8,NA,203,2021-01-22,87076,0.002331296798199274
País Vasco,55980,1400,NA,NA,57380,41474,72.3,NA,3044,2021-01-22,2220504,0.0013708599489124992
Principado de Asturias,44195,1200,NA,NA,45395,41465,91.3,NA,6851,2021-01-22,1018784,0.006724683544303798
Región de Murcia,45185,1200,NA,NA,46385,42261,91.1,NA,2086,2021-01-22,1511251,0.0013803133959878274
Andalucía,244620,6800,NA,NA,251420,226309,90,NA,25516,2021-01-25,8464411,0.0030145039034612095
Aragón,41265,1200,NA,NA,42465,42539,100.2,NA,2222,2021-01-25,1329391,0.0016714420362406546
Cantabria,20625,500,NA,NA,21125,20463,96.9,NA,241,2021-01-25,582905,4.1344644496101425e-4
Castilla y León,93315,2500,NA,NA,95815,94057,98.2,NA,9593,2021-01-25,2394918,0.004005565117469575
Castilla-La Mancha,61875,1700,NA,NA,63575,61388,96.6,NA,2008,2021-01-25,2045221,9.818009887440037e-4
Cataluña,211220,5800,NA,NA,217020,184778,85.1,NA,7472,2021-01-25,7780479,9.603521839722207e-4
Ceuta,1980,200,NA,NA,2180,1692,77.6,NA,373,2021-01-25,84202,0.0044298235196313625
Comunidad de Madrid,171915,4700,NA,NA,176615,165514,93.7,NA,2634,2021-01-25,6779888,3.8850199295327594e-4
Comunidad Foral de Navarra,20625,500,NA,NA,21125,17053,80.7,NA,809,2021-01-25,661197,0.0012235385218021255
Comunidad Valenciana,109000,2900,NA,NA,111900,104449,93.3,NA,4532,2021-01-25,5057353,8.961209549738767e-4
Extremadura,39275,1000,NA,NA,40275,33125,82.2,NA,638,2021-01-25,1063987,5.996313864737069e-4
Galicia,66805,1800,NA,NA,68605,66873,97.5,NA,8602,2021-01-25,2701819,0.003183781000873856
Islas Baleares,22590,600,NA,NA,23190,22083,95.2,NA,2713,2021-01-25,1171543,0.002315749400576846
Islas Canarias,46185,1300,NA,NA,47485,50110,105.5,NA,3993,2021-01-25,2175952,0.001835058861592535
La Rioja,11765,200,NA,NA,11965,9166,76.6,NA,317,2021-01-25,319914,9.908913020374225e-4
Melilla,1980,200,NA,NA,2180,1500,68.8,NA,203,2021-01-25,87076,0.002331296798199274
País Vasco,55980,1400,NA,NA,57380,46124,80.4,NA,3355,2021-01-25,2220504,0.0015109182419847027
Principado de Asturias,44195,1200,NA,NA,45395,43926,96.8,NA,9030,2021-01-25,1018784,0.008863507868203663
Región de Murcia,45185,1200,NA,NA,46385,46444,100.1,NA,4447,2021-01-25,1511251,0.002942595240631768
Andalucía,244620,6800,NA,NA,251420,251172,99.9,NA,37978,2021-01-26,8464411,0.004486785908671023
Aragón,41265,1200,NA,NA,42465,43531,102.5,NA,2945,2021-01-26,1329391,0.002215300088536781
Cantabria,20625,500,NA,NA,21125,20743,98.2,NA,300,2021-01-26,582905,5.146636244327978e-4
Castilla y León,93315,2500,NA,NA,95815,99536,103.9,NA,13245,2021-01-26,2394918,0.0055304607506394795
Castilla-La Mancha,61875,1700,NA,NA,63575,64349,101.2,NA,3623,2021-01-26,2045221,0.0017714467042925924
Cataluña,211220,5800,NA,NA,217020,182713,84.2,NA,9620,2021-01-26,7780479,0.0012364277315059908
Ceuta,1980,200,NA,NA,2180,1829,83.9,NA,503,2021-01-26,84202,0.005973729840146315
Comunidad de Madrid,171915,4700,NA,NA,176615,169501,96,NA,4073,2021-01-26,6779888,6.00747386977484e-4
Comunidad Foral de Navarra,20625,500,NA,NA,21125,18703,88.5,NA,1757,2021-01-26,661197,0.002657301832887929
Comunidad Valenciana,109000,2900,NA,NA,111900,105490,94.3,NA,5393,2021-01-26,5057353,0.0010663681178671926
Extremadura,39275,1000,NA,NA,40275,35441,88,NA,1721,2021-01-26,1063987,0.0016175009657072878
Galicia,66805,1800,NA,NA,68605,70384,102.6,NA,12042,2021-01-26,2701819,0.004456997304408622
Islas Baleares,22590,600,NA,NA,23190,22372,96.5,NA,2879,2021-01-26,1171543,0.0024574428766165647
Islas Canarias,46185,1300,NA,NA,47485,52768,111.1,NA,5149,2021-01-26,2175952,0.002366320580601043
La Rioja,11765,200,NA,NA,11965,9387,78.5,NA,455,2021-01-26,319914,0.0014222572316310007
Melilla,1980,200,NA,NA,2180,1631,74.8,NA,332,2021-01-26,87076,0.0038127612660204878
País Vasco,55980,1400,NA,NA,57380,48927,85.3,NA,5159,2021-01-26,2220504,0.0023233464114453296
Principado de Asturias,44195,1200,NA,NA,45395,44087,97.1,NA,10694,2021-01-26,1018784,0.01049682759053931
Región de Murcia,45185,1200,NA,NA,46385,48652,104.9,NA,5829,2021-01-26,1511251,0.003857069408059945
Andalucía,324180,6800,NA,NA,330980,257976,77.9,NA,50951,2021-01-27,8464411,0.006019438328313689
