Comunidad,Pfizer,Moderna,AstraZeneca,Janssen,Entregadas,Administradas,PercAdministradas,Personas1Dosis,Personas2Dosis,fecha,Poblacion,percvacunados
Extremadura,440585,59800,126500,12900,639785,615201,96.2,404699,216051,2021-05-21,1063987,0.20305793209879444
Galicia,1232125,165000,321700,32900,1751725,1705317,97.4,1115803,603245,2021-05-21,2701819,0.2232736537865786
Islas Baleares,324450,47200,139300,14200,525150,471730,89.8,336944,141426,2021-05-21,1171543,0.12071772013489902
Islas Canarias,631770,90700,259000,26400,1007870,883279,87.6,616270,283662,2021-05-21,2175952,0.1303622506378817
La Rioja,127595,17400,37800,3900,186695,174544,93.5,115235,61926,2021-05-21,319914,0.19357077214501398
Melilla,20700,3100,10600,1050,35450,29595,83.5,22354,7713,2021-05-21,87076,0.08857779411089163
País Vasco,885510,121800,264300,26950,1298560,1216832,93.7,849078,382394,2021-05-21,2220504,0.1722104531223542
Principado de Asturias,502835,67000,121400,12400,703635,689279,98,447261,248389,2021-05-21,1018784,0.24380928636492133
Región de Murcia,478085,67500,179800,18300,743685,638774,85.9,429379,214026,2021-05-21,1511251,0.14162174251663026
Andalucía,2768310,392000,1007500,102800,4270610,4182777,97.9,2869005,1356798,2021-05-24,8464411,0.16029443749836816
Aragón,544365,75900,158300,16000,794565,768752,96.8,499235,277619,2021-05-24,1329391,0.20883171316790922
Cantabria,241755,33100,69300,6950,351105,331596,94.4,221287,114345,2021-05-24,582905,0.1961640404525609
Castilla y León,1173225,159600,285100,29150,1647075,1542088,93.6,970751,588243,2021-05-24,2394918,0.24562135321543369
Castilla-La Mancha,761535,107800,242500,24850,1136685,1103092,97,744186,376232,2021-05-24,2045221,0.18395664820574403
Cataluña,2713850,386700,926100,94450,4121100,3859115,93.6,2698361,1197777,2021-05-24,7780479,0.15394643440333172
Ceuta,20700,3200,10600,1050,35550,34114,96,26205,8653,2021-05-24,84202,0.10276477993396832
Comunidad de Madrid,2235795,320200,807300,82300,3445595,3264439,94.7,2229489,1081311,2021-05-24,6779888,0.1594880328406605
Comunidad Foral de Navarra,244095,34500,78700,8050,365345,365352,100,245970,127438,2021-05-24,661197,0.19273832155923273
Comunidad Valenciana,1693180,239900,601900,61400,2596380,2413113,92.9,1668460,776451,2021-05-24,5057353,0.15352912877546812
Extremadura,440585,59800,126500,12900,639785,622596,97.3,412592,216911,2021-05-24,1063987,0.20386621265109442
Galicia,1232125,165000,321700,32900,1751725,1732228,98.9,1141495,610231,2021-05-24,2701819,0.22585931922160588
Islas Baleares,324450,47200,139300,14200,525150,495130,94.3,356356,146494,2021-05-24,1171543,0.12504363902989477
Islas Canarias,631770,90700,259000,26400,1007870,908910,90.2,637270,289781,2021-05-24,2175952,0.1331743531107304
La Rioja,127595,17400,37800,3900,186695,177970,95.3,115263,65334,2021-05-24,319914,0.20422363510193364
Melilla,20700,3100,10600,1050,35450,31725,89.5,24471,8021,2021-05-24,87076,0.0921149340805733
País Vasco,885510,121800,264300,26950,1298560,1252266,96.4,876681,398634,2021-05-24,2220504,0.17952410804033678
Principado de Asturias,502835,67000,121400,12400,703635,703017,99.9,455396,254313,2021-05-24,1018784,0.24962406162640952
Región de Murcia,478085,67500,179800,18300,743685,667235,89.7,448989,225998,2021-05-24,1511251,0.14954365621594295
Andalucía,2919240,447000,1054200,102800,4523240,4236831,93.7,2905091,1376852,2021-05-25,8464411,0.1626636513751518
Aragón,567765,84500,165600,16000,833865,771132,92.5,501244,278112,2021-05-25,1329391,0.20920255966829923
Cantabria,252285,36900,72500,6950,368635,334728,90.8,222379,116385,2021-05-25,582905,0.1996637530987039
Castilla y León,1218855,180200,298300,29150,1726505,1550516,89.8,973850,594307,2021-05-25,2394918,0.24815338145189106
Castilla-La Mancha,797805,121100,253800,24675,1197380,1112609,92.9,751374,379701,2021-05-25,2045221,0.18565279742384808
Cataluña,2853080,437200,969100,94450,4353830,3877815,89.1,2707013,1208290,2021-05-25,7780479,0.15529763655939435
Ceuta,24210,3800,11000,1050,40060,34619,86.4,26710,8661,2021-05-25,84202,0.10285978955369231
Comunidad de Madrid,2357475,364200,844700,82300,3648675,3314159,90.8,2263014,1097790,2021-05-25,6779888,0.16191860396513924
Comunidad Foral de Navarra,255795,38800,82300,8050,384945,368564,95.7,247991,128636,2021-05-25,661197,0.19455018700931795
Comunidad Valenciana,1783270,272700,629800,61400,2747170,2506543,91.2,1737096,811694,2021-05-25,5057353,0.1604977940040966
Extremadura,459305,66700,132400,12900,671305,625120,93.1,414848,217382,2021-05-25,1063987,0.20430888723264476
Galicia,1280095,182600,336600,32900,1832195,1744611,95.2,1153072,612032,2021-05-25,2701819,0.2265259071758693
Islas Baleares,340830,54800,145800,14200,555630,501961,90.3,362304,147377,2021-05-25,1171543,0.12579734589340724
Islas Canarias,710160,104800,271000,26400,1112360,954331,85.8,675729,300212,2021-05-25,2175952,0.1379681169437561
La Rioja,133445,19500,39600,3900,196445,180522,91.9,116495,67299,2021-05-25,319914,0.21036591083853787
Melilla,24210,3700,11000,1050,39960,32544,81.4,25288,8233,2021-05-25,87076,0.09454958886489963
País Vasco,925290,136200,276500,26950,1364940,1266789,92.8,889278,400593,2021-05-25,2220504,0.1804063401822289
Principado de Asturias,520385,73600,127000,12400,733385,709724,96.8,459380,257364,2021-05-25,1018784,0.2526188083048026
Región de Murcia,504995,77300,188100,18300,788695,674337,85.5,452484,229612,2021-05-25,1511251,0.15193505248300912
Andalucía,2919240,447000,1054200,102800,4523240,4313832,95.4,2953721,1407035,2021-05-26,8464411,0.16622952264487156
Aragón,567765,84500,165600,16000,833865,782323,93.8,508875,282947,2021-05-26,1329391,0.2128395633790209
Cantabria,252285,36900,72500,6950,368635,340603,92.4,225682,118973,2021-05-26,582905,0.20410358463214417
