CCAA,Total_Ingresados,PercCamasCovid,UCI,PerCamasUCI,Ingresos24h,Altas24h,fecha
Islas Canarias,218,406,47,1061,17,23,2020-10-30
La Rioja,143,1663,27,45,22,19,2020-10-30
Melilla,51,2849,9,6429,5,2,2020-10-30
País Vasco,677,1462,80,2508,107,89,2020-10-30
Principado de Asturias,573,1701,74,2731,88,45,2020-10-30
Región de Murcia,517,1226,97,2095,78,80,2020-10-30
Andalucía,2817,1672,389,2385,413,286,2020-11-02
Aragón,928,2224,106,4818,98,81,2020-11-02
Cantabria,153,952,16,1301,18,4,2020-11-02
Castilla y León,1573,2317,186,375,171,110,2020-11-02
Castilla-La Mancha,989,2059,109,2802,74,36,2020-11-02
Cataluña,4365,171,546,4012,358,235,2020-11-02
Ceuta,44,2316,8,4706,5,1,2020-11-02
Comunidad de Madrid,2946,1757,476,3829,212,206,2020-11-02
Comunidad Foral de Navarra,428,1974,57,375,33,19,2020-11-02
Comunidad Valenciana,1444,1265,219,2147,179,46,2020-11-02
España,19170,1551,2650,2797,2002,1203,2020-11-02
Extremadura,356,1127,42,185,47,20,2020-11-02
Galicia,545,663,84,1162,68,22,2020-11-02
Islas Baleares,220,668,53,186,21,6,2020-11-02
Islas Canarias,215,401,44,993,15,2,2020-11-02
La Rioja,152,1767,32,5333,21,4,2020-11-02
Melilla,54,3017,10,7143,7,0,2020-11-02
País Vasco,775,166,94,2798,70,24,2020-11-02
Principado de Asturias,595,1767,83,3063,93,65,2020-11-02
Región de Murcia,571,1354,96,2065,99,36,2020-11-02
Andalucía,3140,1968,400,2582,364,157,2020-11-03
Aragón,1016,2451,106,4818,87,42,2020-11-03
Cantabria,166,1033,17,1382,27,15,2020-11-03
Castilla y León,1719,2537,195,3939,175,73,2020-11-03
Castilla-La Mancha,937,1937,109,2774,87,127,2020-11-03
Cataluña,4365,1711,580,4227,465,493,2020-11-03
Ceuta,46,2421,8,4706,5,2,2020-11-03
Comunidad de Madrid,2989,1775,486,3845,178,141,2020-11-03
Comunidad Foral de Navarra,410,1893,61,4013,46,60,2020-11-03
Comunidad Valenciana,1441,1266,224,2203,200,175,2020-11-03
España,19943,1624,2754,2917,2137,1606,2020-11-03
Extremadura,388,1228,48,2192,30,16,2020-11-03
Galicia,577,703,82,1133,67,55,2020-11-03
Islas Baleares,224,678,51,1789,23,20,2020-11-03
Islas Canarias,218,406,44,993,19,9,2020-11-03
La Rioja,150,1744,34,5667,17,17,2020-11-03
Melilla,52,2905,8,5714,7,6,2020-11-03
País Vasco,763,1627,96,2735,132,133,2020-11-03
Principado de Asturias,752,2226,107,3835,96,12,2020-11-03
Región de Murcia,590,1399,98,2108,112,53,2020-11-03
Andalucía,3222,1911,433,2635,442,353,2020-11-04
Aragón,1038,2494,110,4933,150,118,2020-11-04
Cantabria,163,102,17,1491,20,19,2020-11-04
Castilla y León,1716,2528,196,3952,200,187,2020-11-04
Castilla-La Mancha,948,1957,110,2778,119,94,2020-11-04
Cataluña,4488,1756,588,4255,485,451,2020-11-04
Ceuta,42,2258,6,3529,1,10,2020-11-04
Comunidad de Madrid,2997,1764,482,3801,283,334,2020-11-04
Comunidad Foral de Navarra,415,1918,59,3933,60,56,2020-11-04
Comunidad Valenciana,1484,1302,227,2191,196,137,2020-11-04
España,20325,164,2786,2911,2481,2166,2020-11-04
Extremadura,407,1288,43,1963,45,31,2020-11-04
Galicia,552,672,86,1188,72,52,2020-11-04
Islas Baleares,265,792,50,1748,59,20,2020-11-04
Islas Canarias,227,423,43,971,22,16,2020-11-04
La Rioja,161,1872,32,5333,23,18,2020-11-04
Melilla,47,2626,7,50,4,11,2020-11-04
País Vasco,763,1632,95,2707,129,123,2020-11-04
Principado de Asturias,798,2363,108,3871,92,61,2020-11-04
Región de Murcia,592,1403,94,2009,79,75,2020-11-04
Andalucía,3277,1938,434,263,450,433,2020-11-05
Aragón,1039,2493,112,5022,125,131,2020-11-05
Cantabria,160,996,19,1545,21,18,2020-11-05
Castilla y León,1675,2462,203,4068,171,196,2020-11-05
Castilla-La Mancha,940,1942,109,2753,104,103,2020-11-05
Cataluña,4508,1765,576,4168,507,508,2020-11-05
Ceuta,44,2353,6,3529,4,3,2020-11-05
Comunidad de Madrid,2925,1715,476,3757,335,328,2020-11-05
Comunidad Foral de Navarra,417,192,59,3933,38,33,2020-11-05
Comunidad Valenciana,1467,1287,235,2262,171,160,2020-11-05
España,20281,1635,2802,292,2421,2339,2020-11-05
Extremadura,406,1285,46,21,41,39,2020-11-05
Galicia,578,703,82,1133,85,44,2020-11-05
Islas Baleares,269,804,52,1825,29,24,2020-11-05
Islas Canarias,218,406,48,1084,21,15,2020-11-05
La Rioja,161,1872,34,5667,21,18,2020-11-05
Melilla,50,2825,5,4167,8,7,2020-11-05
País Vasco,780,1668,97,2702,121,112,2020-11-05
Principado de Asturias,776,2305,115,4122,92,97,2020-11-05
Región de Murcia,591,14,94,2009,77,70,2020-11-05
Andalucía,3270,1937,454,277,418,401,2020-11-06
Aragón,972,2363,114,5044,103,134,2020-11-06
Cantabria,156,974,20,1695,19,15,2020-11-06
Castilla y León,1694,2486,215,4266,218,170,2020-11-06
Castilla-La Mancha,920,19,109,2753,96,110,2020-11-06
Cataluña,4579,1785,589,4247,392,416,2020-11-06
Ceuta,40,2151,7,4118,4,7,2020-11-06
Comunidad de Madrid,2834,1664,469,3705,248,314,2020-11-06
Comunidad Foral de Navarra,409,188,60,40,46,53,2020-11-06
Comunidad Valenciana,1504,1313,247,2361,197,158,2020-11-06
España,20239,163,2863,2978,2244,2211,2020-11-06
Extremadura,410,1298,48,2115,50,42,2020-11-06
Galicia,588,715,84,116,69,39,2020-11-06
Islas Baleares,276,822,50,1742,22,15,2020-11-06
Islas Canarias,210,391,50,1129,22,25,2020-11-06
La Rioja,169,1965,33,55,21,23,2020-11-06
Melilla,49,2737,6,4286,6,6,2020-11-06
País Vasco,774,1668,98,27,112,133,2020-11-06
Principado de Asturias,791,2327,111,3978,90,76,2020-11-06
Región de Murcia,594,1417,99,2115,111,74,2020-11-06
Andalucía,3273,2087,429,2828,305,141,2020-11-09
Aragón,1009,2453,116,5043,66,33,2020-11-09
Cantabria,171,1067,24,2034,15,12,2020-11-09
Castilla y León,1840,2711,223,446,173,51,2020-11-09
Castilla-La Mancha,940,1951,114,3065,74,37,2020-11-09
Cataluña,4805,1902,652,4534,312,245,2020-11-09
Ceuta,45,2381,7,4118,5,4,2020-11-09
Comunidad de Madrid,2723,1647,463,3713,186,167,2020-11-09
Comunidad Foral de Navarra,384,1778,65,4276,27,24,2020-11-09
Comunidad Valenciana,1727,1507,268,255,212,112,2020-11-09
España,21029,1728,3007,3176,1757,972,2020-11-09
Extremadura,423,1331,59,2599,31,22,2020-11-09
Galicia,575,71,97,1394,72,18,2020-11-09
Islas Baleares,305,909,53,1834,24,11,2020-11-09
Islas Canarias,236,44,46,1038,17,4,2020-11-09
La Rioja,167,1942,34,5667,16,4,2020-11-09
Melilla,46,257,7,50,3,0,2020-11-09
País Vasco,816,1826,116,3333,55,34,2020-11-09
Principado de Asturias,925,2719,128,4588,89,23,2020-11-09
Región de Murcia,619,1476,106,2255,75,30,2020-11-09
Andalucía,3489,2076,481,2894,413,396,2020-11-10
Aragón,996,243,119,5152,118,116,2020-11-10
Cantabria,192,1196,34,2787,34,28,2020-11-10
Castilla y León,1817,266,220,4167,199,209,2020-11-10
Castilla-La Mancha,935,1941,118,3181,92,96,2020-11-10
Cataluña,4483,1748,632,4441,389,589,2020-11-10
Ceuta,39,2053,7,4118,5,6,2020-11-10
Comunidad de Madrid,2773,1649,458,3661,208,184,2020-11-10
Comunidad Foral de Navarra,359,166,65,4305,30,55,2020-11-10
Comunidad Valenciana,1713,1494,272,259,247,236,2020-11-10
España,20943,1691,3064,317,2270,2395,2020-11-10
Extremadura,433,1375,59,2731,52,48,2020-11-10
Galicia,590,713,101,1395,78,72,2020-11-10
Islas Baleares,297,885,59,2042,29,32,2020-11-10
Islas Canarias,230,428,47,1061,11,15,2020-11-10
La Rioja,178,207,36,60,23,14,2020-11-10
Melilla,47,2626,7,50,3,4,2020-11-10
País Vasco,836,1822,117,3214,125,129,2020-11-10
Principado de Asturias,922,2708,129,4624,107,94,2020-11-10
Región de Murcia,614,1464,103,2191,107,72,2020-11-10
Andalucía,3477,2047,509,3041,426,446,2020-11-11
Aragón,977,2363,121,5171,113,144,2020-11-11
Cantabria,201,1252,36,2951,30,17,2020-11-11
Castilla y León,1818,2561,219,4117,220,202,2020-11-11
Castilla-La Mancha,920,1881,125,3333,107,117,2020-11-11
Cataluña,4535,1724,632,4435,424,483,2020-11-11
Ceuta,39,2074,6,3529,2,4,2020-11-11
Comunidad de Madrid,2788,1633,445,3501,253,305,2020-11-11
Comunidad Foral de Navarra,345,1601,69,457,30,44,2020-11-11
Comunidad Valenciana,1784,1553,276,2609,225,183,2020-11-11
España,21051,1679,3093,3178,2394,2432,2020-11-11
Extremadura,416,1321,60,2778,40,46,2020-11-11
Galicia,582,703,97,134,80,63,2020-11-11
Islas Baleares,278,828,55,1903,22,31,2020-11-11
Islas Canarias,240,447,48,1084,24,20,2020-11-11
La Rioja,184,214,36,60,25,17,2020-11-11
Melilla,46,257,7,50,0,2,2020-11-11
País Vasco,864,1856,122,3297,145,126,2020-11-11
Principado de Asturias,934,2732,128,4429,122,109,2020-11-11
Región de Murcia,623,1485,102,217,106,73,2020-11-11
Andalucía,3427,2017,522,3115,411,426,2020-11-12
Aragón,984,2388,122,5169,97,90,2020-11-12
Cantabria,204,127,35,2869,26,20,2020-11-12
Castilla y León,1793,2538,230,4291,214,204,2020-11-12
Castilla-La Mancha,902,1844,129,344,96,111,2020-11-12
Cataluña,4377,1706,629,4436,389,490,2020-11-12
Ceuta,46,2408,7,4118,5,0,2020-11-12
Comunidad de Madrid,2621,1535,443,3477,238,316,2020-11-12
Comunidad Foral de Navarra,327,1516,65,4305,23,41,2020-11-12
Comunidad Valenciana,1731,1507,284,2677,213,170,2020-11-12
España,20525,1647,3123,3196,2204,2342,2020-11-12
Extremadura,378,119,65,2653,33,51,2020-11-12
Galicia,579,7,99,1367,65,47,2020-11-12
Islas Baleares,290,863,56,1938,37,28,2020-11-12
Islas Canarias,243,453,47,1061,20,17,2020-11-12
La Rioja,182,2116,34,5667,10,15,2020-11-12
Melilla,47,2626,7,50,5,4,2020-11-12
País Vasco,818,1783,112,3011,116,156,2020-11-12
Principado de Asturias,958,2798,133,4586,118,79,2020-11-12
Región de Murcia,618,1474,104,2213,88,77,2020-11-12
Andalucía,3361,1977,521,3086,379,400,2020-11-13
Aragón,947,229,116,4874,90,122,2020-11-13
Cantabria,202,1258,35,2869,23,15,2020-11-13
Castilla y León,1788,2516,224,4195,181,186,2020-11-13
Castilla-La Mancha,899,1838,130,3467,102,97,2020-11-13
Cataluña,4258,16,637,447,359,471,2020-11-13
Ceuta,45,2344,7,4118,3,3,2020-11-13
Comunidad de Madrid,2603,153,434,3415,244,260,2020-11-13
Comunidad Foral de Navarra,331,1537,61,4013,43,44,2020-11-13
Comunidad Valenciana,1727,1502,282,2643,217,201,2020-11-13
España,20296,1615,3125,3175,2117,2241,2020-11-13
Extremadura,371,1158,68,2698,32,41,2020-11-13
Galicia,594,717,108,1492,81,78,2020-11-13
Islas Baleares,286,851,56,1938,15,21,2020-11-13
Islas Canarias,252,469,52,1174,21,7,2020-11-13
La Rioja,174,2023,34,5667,15,18,2020-11-13
Melilla,43,2402,7,50,2,6,2020-11-13
País Vasco,830,18,121,2988,106,105,2020-11-13
Principado de Asturias,974,2839,138,4646,112,76,2020-11-13
Región de Murcia,611,1457,94,20,92,90,2020-11-13
Andalucía,3381,199,523,3191,276,149,2020-11-16
Aragón,920,2225,116,4874,60,30,2020-11-16
Cantabria,209,1301,32,2623,17,7,2020-11-16
Castilla y León,1836,2605,240,4478,159,63,2020-11-16
Castilla-La Mancha,898,1824,130,343,63,24,2020-11-16
Cataluña,4245,1664,633,4464,272,187,2020-11-16
Ceuta,39,1902,7,4118,1,1,2020-11-16
Comunidad de Madrid,2593,1538,414,3344,150,68,2020-11-16
Comunidad Foral de Navarra,328,1563,58,3816,17,17,2020-11-16
Comunidad Valenciana,1803,1578,299,2952,163,62,2020-11-16
España,20452,1654,3156,328,1520,790,2020-11-16
Extremadura,347,1083,67,2659,23,12,2020-11-16
Galicia,567,759,106,1608,60,10,2020-11-16
Islas Baleares,284,844,58,2007,12,20,2020-11-16
Islas Canarias,248,446,51,1151,16,7,2020-11-16
La Rioja,196,2279,36,60,12,6,2020-11-16
Melilla,41,2291,10,7143,1,3,2020-11-16
País Vasco,875,1915,130,3412,71,45,2020-11-16
Principado de Asturias,1039,3021,146,485,85,43,2020-11-16
Región de Murcia,603,1437,100,2119,62,36,2020-11-16
Andalucía,3352,196,530,3206,342,399,2020-11-17
Aragón,884,2136,117,4958,96,127,2020-11-17
Cantabria,201,1252,31,2541,30,33,2020-11-17
Castilla y León,1816,2538,236,4268,200,199,2020-11-17
Castilla-La Mancha,871,1762,125,3298,77,102,2020-11-17
Cataluña,4097,1601,619,4338,335,475,2020-11-17
Ceuta,36,1773,7,4118,0,5,2020-11-17
Comunidad de Madrid,2457,1445,407,3253,201,294,2020-11-17
Comunidad Foral de Navarra,327,1556,57,375,27,29,2020-11-17
Comunidad Valenciana,1787,1565,312,308,231,254,2020-11-17
España,20007,1613,3127,3231,2022,2420,2020-11-17
Extremadura,333,1039,63,25,27,39,2020-11-17
Galicia,574,769,101,1533,52,56,2020-11-17
Islas Baleares,313,932,54,1869,49,20,2020-11-17
Islas Canarias,245,456,49,1106,22,12,2020-11-17
La Rioja,191,2221,37,6167,14,19,2020-11-17
Melilla,40,2235,9,6429,5,6,2020-11-17
País Vasco,850,1791,126,3281,105,150,2020-11-17
Principado de Asturias,1037,3016,143,4751,118,120,2020-11-17
Región de Murcia,596,142,104,2203,91,81,2020-11-17
Andalucía,3176,1851,528,3196,323,413,2020-11-18
Aragón,846,2042,115,4873,79,117,2020-11-18
Cantabria,207,1293,35,2991,34,16,2020-11-18
Castilla y León,1745,243,243,4301,162,202,2020-11-18
Castilla-La Mancha,829,1678,126,3342,76,103,2020-11-18
Cataluña,3968,1548,607,4233,313,474,2020-11-18
Ceuta,34,1675,7,4118,2,4,2020-11-18
Comunidad de Madrid,2404,1408,397,3181,220,264,2020-11-18
Comunidad Foral de Navarra,312,1488,57,375,32,42,2020-11-18
Comunidad Valenciana,1780,1559,304,301,211,186,2020-11-18
España,19403,1554,3120,3204,1934,2347,2020-11-18
Extremadura,341,1072,66,264,26,29,2020-11-18
Galicia,564,684,106,1464,76,73,2020-11-18
Islas Baleares,301,896,50,173,26,39,2020-11-18
Islas Canarias,242,451,51,1151,14,12,2020-11-18
La Rioja,182,2116,36,60,12,21,2020-11-18
Melilla,32,1788,10,7143,1,8,2020-11-18
País Vasco,851,1848,125,3307,136,141,2020-11-18
Principado de Asturias,1027,2987,146,485,119,115,2020-11-18
Región de Murcia,562,1339,111,2352,72,88,2020-11-18
Andalucía,3122,1813,577,3243,315,405,2020-11-19
Aragón,778,1887,122,5236,71,131,2020-11-19
Cantabria,201,1252,33,2705,30,33,2020-11-19
Castilla y León,1707,2398,241,4273,169,200,2020-11-19
Castilla-La Mancha,761,1541,122,3228,61,127,2020-11-19
Cataluña,3960,1544,578,4039,290,418,2020-11-19
Ceuta,34,1675,8,4706,5,4,2020-11-19
Comunidad de Madrid,2295,1344,393,3136,188,261,2020-11-19
Comunidad Foral de Navarra,289,1376,55,3618,16,39,2020-11-19
Comunidad Valenciana,1812,1587,306,3039,199,178,2020-11-19
España,18961,1518,3125,3166,1727,2246,2020-11-19
Extremadura,321,1002,65,2579,20,27,2020-11-19
Galicia,552,671,102,1409,57,47,2020-11-19
Islas Baleares,300,893,48,1661,20,26,2020-11-19
Islas Canarias,230,429,46,1038,11,17,2020-11-19
La Rioja,167,1942,35,5833,11,28,2020-11-19
Melilla,32,1788,10,7143,1,8,2020-11-19
País Vasco,844,1842,123,3245,97,114,2020-11-19
Principado de Asturias,1018,2959,150,4983,109,104,2020-11-19
Región de Murcia,538,1282,111,2352,57,79,2020-11-19
Andalucía,2997,174,567,3129,274,350,2020-11-20
Aragón,738,1783,118,5064,57,92,2020-11-20
Cantabria,190,1183,37,3033,22,19,2020-11-20
Castilla y León,1539,2158,248,4405,153,186,2020-11-20
Castilla-La Mancha,766,1552,118,3122,91,94,2020-11-20
Cataluña,3689,146,538,3936,274,405,2020-11-20
Ceuta,34,1692,7,4118,2,3,2020-11-20
Comunidad de Madrid,2152,1323,383,3076,192,250,2020-11-20
Comunidad Foral de Navarra,283,1346,50,3268,16,24,2020-11-20
Comunidad Valenciana,1714,15,320,3162,200,201,2020-11-20
España,17963,1452,3054,3102,1643,2099,2020-11-20
Extremadura,327,1027,66,2619,20,25,2020-11-20
Galicia,534,65,100,1381,58,66,2020-11-20
Islas Baleares,294,876,49,1696,16,26,2020-11-20
Islas Canarias,219,408,46,1038,13,19,2020-11-20
La Rioja,155,1802,34,5667,9,20,2020-11-20
Melilla,28,1564,8,5714,4,6,2020-11-20
País Vasco,830,1821,117,3015,102,129,2020-11-20
Principado de Asturias,983,2856,143,4751,95,125,2020-11-20
Región de Murcia,491,117,105,2225,45,59,2020-11-20
Andalucía,2835,1656,455,271,205,168,2020-11-23
Aragón,709,1694,110,4681,45,24,2020-11-23
Cantabria,189,1177,38,3115,10,7,2020-11-23
Castilla y León,1604,2283,241,443,101,64,2020-11-23
Castilla-La Mancha,685,1381,113,2982,39,22,2020-11-23
Cataluña,3589,1414,545,3819,170,175,2020-11-23
Ceuta,30,15,7,4118,1,1,2020-11-23
Comunidad de Madrid,2309,1368,388,3082,130,64,2020-11-23
Comunidad Foral de Navarra,244,1164,41,2828,7,21,2020-11-23
Comunidad Valenciana,1674,1485,316,317,165,90,2020-11-23
España,17695,1426,2922,2998,1147,812,2020-11-23
Extremadura,315,989,72,2857,20,17,2020-11-23
Galicia,521,632,105,145,56,42,2020-11-23
Islas Baleares,297,884,55,1903,9,3,2020-11-23
Islas Canarias,218,406,41,926,12,9,2020-11-23
La Rioja,144,1674,35,5833,6,2,2020-11-23
Melilla,29,162,6,4286,3,0,2020-11-23
País Vasco,819,1818,114,2931,48,34,2020-11-23
Principado de Asturias,1005,2916,140,4651,71,36,2020-11-23
Región de Murcia,479,114,100,2119,49,33,2020-11-23
Andalucía,2758,1601,483,286,242,347,2020-11-24
Aragón,687,1642,103,4383,62,79,2020-11-24
Cantabria,169,1052,28,2295,15,26,2020-11-24
Castilla y León,1528,2162,229,4104,128,178,2020-11-24
Castilla-La Mancha,643,1297,106,2812,57,98,2020-11-24
Cataluña,3315,1308,523,3681,232,371,2020-11-24
Ceuta,29,1436,6,3529,1,2,2020-11-24
Comunidad de Madrid,2056,121,379,2975,183,250,2020-11-24
Comunidad Foral de Navarra,219,1064,41,2887,17,40,2020-11-24
Comunidad Valenciana,1559,1383,300,3003,169,238,2020-11-24
España,16701,1343,2853,2906,1461,2092,2020-11-24
Extremadura,299,939,68,2698,28,33,2020-11-24
Galicia,525,635,100,1381,57,53,2020-11-24
Islas Baleares,285,85,57,1972,15,29,2020-11-24
Islas Canarias,227,423,40,903,18,16,2020-11-24
La Rioja,134,1558,32,5333,6,22,2020-11-24
Melilla,29,162,6,4286,4,4,2020-11-24
País Vasco,801,1754,115,2904,97,140,2020-11-24
Principado de Asturias,979,281,144,4299,91,98,2020-11-24
Región de Murcia,459,1093,93,197,39,68,2020-11-24
Andalucía,2632,1526,484,2861,230,375,2020-11-25
Aragón,622,1495,98,4206,54,97,2020-11-25
Cantabria,180,1121,32,2623,18,17,2020-11-25
Castilla y León,1425,2027,226,4029,111,203,2020-11-25
Castilla-La Mancha,642,1295,111,2944,69,75,2020-11-25
Cataluña,3153,1234,512,3634,260,415,2020-11-25
Ceuta,28,14,5,2941,0,4,2020-11-25
Comunidad de Madrid,1976,1172,362,2884,203,244,2020-11-25
Comunidad Foral de Navarra,206,10,39,2746,20,28,2020-11-25
Comunidad Valenciana,1502,1325,317,3154,150,185,2020-11-25
España,15986,1284,2838,2898,1471,2085,2020-11-25
Extremadura,284,892,68,2698,22,25,2020-11-25
Galicia,494,599,95,1312,55,56,2020-11-25
Islas Baleares,276,823,57,1972,25,30,2020-11-25
Islas Canarias,237,442,40,903,23,12,2020-11-25
La Rioja,122,1419,33,55,10,16,2020-11-25
Melilla,25,1397,5,3571,2,7,2020-11-25
País Vasco,784,1701,119,3043,87,115,2020-11-25
Principado de Asturias,944,2712,145,4328,81,122,2020-11-25
Región de Murcia,454,1081,90,1907,51,59,2020-11-25
Andalucía,2472,1433,476,2813,209,323,2020-11-26
Aragón,583,1405,98,4206,55,87,2020-11-26
Cantabria,187,1164,32,2623,22,15,2020-11-26
Castilla y León,1363,1939,223,3975,115,162,2020-11-26
Castilla-La Mancha,613,1236,116,3077,55,77,2020-11-26
Cataluña,3088,1212,503,3593,252,378,2020-11-26
Ceuta,27,1337,5,2941,2,4,2020-11-26
Comunidad de Madrid,1905,1127,350,2814,173,217,2020-11-26
Comunidad Foral de Navarra,201,989,38,2676,17,21,2020-11-26
Comunidad Valenciana,1468,1286,316,311,145,182,2020-11-26
España,15316,123,2815,2864,1388,1969,2020-11-26
Extremadura,273,857,71,2817,19,24,2020-11-26
Galicia,481,585,96,1326,57,45,2020-11-26
Islas Baleares,268,8,54,1869,23,29,2020-11-26
Islas Canarias,218,406,41,926,16,25,2020-11-26
La Rioja,114,1326,35,3302,12,20,2020-11-26
Melilla,24,1341,7,50,4,3,2020-11-26
País Vasco,730,1586,117,3055,88,126,2020-11-26
Principado de Asturias,878,2518,144,4223,73,151,2020-11-26
Región de Murcia,423,1007,93,197,51,80,2020-11-26
Andalucía,2327,1349,466,2744,210,341,2020-11-27
Aragón,572,1375,98,4206,68,69,2020-11-27
Cantabria,172,1071,28,2295,11,19,2020-11-27
Castilla y León,1301,185,219,3911,100,146,2020-11-27
Castilla-La Mancha,600,121,116,3069,62,63,2020-11-27
Cataluña,2889,1138,498,3575,213,349,2020-11-27
Ceuta,26,1287,4,2353,2,4,2020-11-27
Comunidad de Madrid,1958,1184,360,2917,182,180,2020-11-27
Comunidad Foral de Navarra,191,947,40,3008,16,24,2020-11-27
Comunidad Valenciana,1440,1261,307,3022,168,150,2020-11-27
España,14819,1195,2777,2844,1367,1780,2020-11-27
Extremadura,249,782,69,2738,27,30,2020-11-27
Galicia,459,558,90,1243,42,55,2020-11-27
Islas Baleares,255,758,53,1834,18,25,2020-11-27
Islas Canarias,219,408,43,971,15,20,2020-11-27
La Rioja,119,1384,34,5667,18,9,2020-11-27
Melilla,21,1173,6,4286,1,4,2020-11-27
País Vasco,762,1664,117,3039,96,105,2020-11-27
Principado de Asturias,849,2435,136,3988,66,129,2020-11-27
Región de Murcia,410,976,93,1966,52,58,2020-11-27
Andalucía,2158,1251,407,2405,152,113,2020-11-30
Aragón,581,1402,98,4206,46,37,2020-11-30
Cantabria,176,1096,30,2459,14,6,2020-11-30
Castilla y León,1275,1853,212,4015,83,28,2020-11-30
Castilla-La Mancha,643,1302,113,2982,44,19,2020-11-30
Cataluña,2905,1159,485,3216,141,109,2020-11-30
Ceuta,20,99,3,1765,1,0,2020-11-30
Comunidad de Madrid,1817,1151,352,2843,121,57,2020-11-30
Comunidad Foral de Navarra,174,88,35,2632,11,19,2020-11-30
Comunidad Valenciana,1366,1223,287,2887,104,58,2020-11-30
España,14503,1185,2629,2674,943,573,2020-11-30
Extremadura,300,942,74,2937,16,19,2020-11-30
Galicia,450,546,67,925,44,23,2020-11-30
Islas Baleares,257,766,54,1869,22,8,2020-11-30
Islas Canarias,221,412,43,971,13,1,2020-11-30
La Rioja,131,1523,31,5167,5,2,2020-11-30
Melilla,23,1285,4,2857,2,1,2020-11-30
País Vasco,753,1659,116,2974,45,28,2020-11-30
Principado de Asturias,856,2462,130,3812,51,24,2020-11-30
Región de Murcia,397,945,88,186,28,21,2020-11-30
Andalucía,2050,1189,407,2413,152,265,2020-12-01
Aragón,567,1368,95,4077,58,71,2020-12-01
Cantabria,172,1071,29,2377,20,25,2020-12-01
Castilla y León,1226,1799,212,4038,124,157,2020-12-01
Castilla-La Mancha,621,1258,108,285,52,82,2020-12-01
Cataluña,2999,1186,451,3007,205,241,2020-12-01
Ceuta,19,941,2,1176,1,3,2020-12-01
Comunidad de Madrid,1842,1116,348,2848,207,175,2020-12-01
Comunidad Foral de Navarra,171,867,33,2558,13,10,2020-12-01
Comunidad Valenciana,1397,1219,305,2996,144,146,2020-12-01
España,14243,1152,2578,263,1262,1561,2020-12-01
Extremadura,235,745,71,2946,12,16,2020-12-01
Galicia,423,513,63,87,45,45,2020-12-01
Islas Baleares,251,742,51,1765,19,36,2020-12-01
Islas Canarias,215,401,42,95,15,17,2020-12-01
La Rioja,126,1465,30,50,6,12,2020-12-01
Melilla,21,1173,4,2857,2,3,2020-12-01
País Vasco,706,1537,110,2835,84,136,2020-12-01
Principado de Asturias,838,2414,131,3842,62,75,2020-12-01
Región de Murcia,364,866,86,1818,41,46,2020-12-01
Andalucía,1984,1155,389,2313,192,264,2020-12-02
Aragón,546,1318,92,4017,55,71,2020-12-02
Cantabria,177,1102,31,2541,22,12,2020-12-02
Castilla y León,1159,166,205,3694,114,166,2020-12-02
Castilla-La Mancha,611,1238,107,2823,54,65,2020-12-02
Cataluña,2760,108,455,3255,198,360,2020-12-02
Ceuta,20,99,2,1176,2,1,2020-12-02
Comunidad de Madrid,1757,1061,333,2707,186,208,2020-12-02
Comunidad Foral de Navarra,169,839,31,2403,18,22,2020-12-02
Comunidad Valenciana,1363,1189,302,2961,138,125,2020-12-02
España,13567,1096,2485,2566,1256,1675,2020-12-02
Extremadura,191,664,30,1531,14,21,2020-12-02
Galicia,392,475,55,76,39,59,2020-12-02
Islas Baleares,237,7,48,1661,14,34,2020-12-02
Islas Canarias,219,408,44,995,16,17,2020-12-02
La Rioja,110,1279,29,4833,10,11,2020-12-02
Melilla,17,95,4,2857,2,5,2020-12-02
País Vasco,684,1498,111,2898,84,111,2020-12-02
Principado de Asturias,829,2388,134,393,69,78,2020-12-02
Región de Murcia,342,818,83,1755,29,45,2020-12-02
Andalucía,1872,1088,387,2301,164,254,2020-12-03
Aragón,540,1301,94,4105,49,45,2020-12-03
Cantabria,183,1139,32,2623,22,15,2020-12-03
Castilla y León,1112,1595,202,3666,107,129,2020-12-03
Castilla-La Mancha,612,1249,104,2744,50,54,2020-12-03
Cataluña,2648,1037,436,3211,196,299,2020-12-03
Ceuta,9,446,2,1176,0,3,2020-12-03
Comunidad de Madrid,1717,1035,327,2656,156,216,2020-12-03
Comunidad Foral de Navarra,161,799,31,2403,12,27,2020-12-03
Comunidad Valenciana,1309,1144,290,2883,127,143,2020-12-03
España,13063,1053,2440,2528,1131,1543,2020-12-03
Extremadura,199,625,41,183,5,21,2020-12-03
Galicia,371,449,52,718,44,52,2020-12-03
Islas Baleares,223,658,45,1557,22,27,2020-12-03
Islas Canarias,211,393,44,995,12,11,2020-12-03
La Rioja,128,1488,27,45,8,12,2020-12-03
Melilla,16,894,3,2143,2,2,2020-12-03
País Vasco,675,1484,110,288,82,103,2020-12-03
Principado de Asturias,767,2209,133,39,50,86,2020-12-03
Región de Murcia,310,738,80,1695,23,44,2020-12-03
Andalucía,1761,1021,369,2202,141,256,2020-12-04
Aragón,522,126,89,3991,48,63,2020-12-04
Cantabria,184,1146,34,2787,18,17,2020-12-04
Castilla y León,1075,1542,200,363,97,127,2020-12-04
Castilla-La Mancha,585,1187,105,277,49,69,2020-12-04
Cataluña,2530,993,424,3152,212,290,2020-12-04
Ceuta,9,446,2,1176,0,0,2020-12-04
