ccaa,number
Andalucía,1
Aragón,2
Principado de Asturias,3
Islas Baleares,4
Islas Canarias,5
Cantabria,6
Castilla-La Mancha,7
Castilla y León,8
Cataluña,9
Ceuta,10
Comunidad Valenciana,11
Extremadura,12
Galicia,13
Comunidad de Madrid,14
Melilla,15
Región de Murcia,16
Comunidad Foral de Navarra,17
País Vasco,18
La Rioja,19
