Comunidad,Pfizer,Moderna,AstraZeneca,Janssen,Entregadas,Administradas,PercAdministradas,Personas1Dosis,Personas2Dosis,fecha,Poblacion,percvacunados
Comunidad de Madrid,7602579,1645800,1220900,381450,10850729,9290605,85.6,5172233,4785450,2021-09-08,6779888,70.58
Región de Murcia,1687865,398000,253100,68300,2407265,2127974,88.4,1157636,1089172,2021-09-08,1511251,72.07
Comunidad Foral de Navarra,734325,151500,136600,32750,1055175,940735,89.2,512684,488725,2021-09-08,661197,73.92
País Vasco,2484900,526100,444200,110850,3566050,3202972,89.8,1767474,1646870,2021-09-08,2220504,74.17
Ceuta,95580,22400,18100,4150,140230,105755,75.4,58555,54012,2021-09-08,84202,64.15
Melilla,96750,23500,15100,5750,141100,96891,68.7,54774,50972,2021-09-08,87076,58.54
España,52886511,10669730,9467700,2555760,75579701,67798496,89.7,37008271,34739745,2021-09-08,47450795,73.21
Andalucía,9306270,1936600,1805800,525450,13574120,12289905,90.5,6659490,6290321,2021-09-09,8464411,74.31
Aragón,1508445,275200,265100,64700,2113445,1916902,90.7,1045470,991865,2021-09-09,1329391,74.61
Principado de Asturias,1200155,162000,235900,49700,1647755,1618852,98.2,863654,826313,2021-09-09,1018784,81.11
Islas Baleares,1262790,305100,256400,62400,1886690,1538991,81.6,831903,794991,2021-09-09,1171543,67.86
Islas Canarias,2324760,574700,503700,133650,3536810,3048319,86.2,1643155,1567096,2021-09-09,2175952,72.02
Cantabria,666465,114900,125200,24950,931515,851179,91.4,465727,423588,2021-09-09,582905,72.67
Castilla y León,2817075,412400,481200,112850,3823525,3592268,94,1956788,1827859,2021-09-09,2394918,76.32
Castilla-La Mancha,2280195,446800,411700,101375,3240070,2898267,89.5,1585556,1472929,2021-09-09,2045221,72.02
Cataluña,8368460,1604900,1514300,375750,11863410,10623451,89.5,5763557,5485895,2021-09-09,7780479,70.51
Comunidad Valenciana,5719150,1213700,863900,307250,8104000,7342220,90.6,4008273,3779021,2021-09-09,5057353,74.72
Extremadura,1210445,218200,186000,51750,1666395,1628462,97.7,884262,827762,2021-09-09,1063987,77.8
Galicia,3102379,507400,573400,122700,4305879,4195381,97.4,2272809,2125136,2021-09-09,2701819,78.66
La Rioja,369785,67600,53300,15200,505885,457507,90.4,253174,237415,2021-09-09,319914,74.21
Comunidad de Madrid,7602579,1645800,1220900,381450,10850729,9327141,86,5181330,4815697,2021-09-09,6779888,71.03
Región de Murcia,1687865,398000,253100,68300,2407265,2136404,88.7,1160019,1095708,2021-09-09,1511251,72.5
Comunidad Foral de Navarra,734325,151500,136600,32750,1055175,944282,89.5,513732,491886,2021-09-09,661197,74.39
País Vasco,2484900,526100,444200,110850,3566050,3212826,90.1,1769549,1655396,2021-09-09,2220504,74.55
Ceuta,95580,22400,18100,4150,140230,106261,75.8,58768,54336,2021-09-09,84202,64.53
Melilla,96750,23500,15100,5750,141100,96922,68.7,54776,51002,2021-09-09,87076,58.57
España,52886511,10669730,9467700,2555760,75579701,68002439,90,37067635,34903802,2021-09-09,47450795,73.56
Andalucía,9306270,2019600,1805800,525450,13657120,12341490,90.4,6674320,6334932,2021-09-10,8464411,74.84
Aragón,1508445,275200,265100,64700,2113445,1923963,91,1047129,997793,2021-09-10,1329391,75.06
Principado de Asturias,1200155,162000,235900,49700,1647755,1618869,98.2,863653,826293,2021-09-10,1018784,81.11
Islas Baleares,1272150,305100,256400,62400,1896050,1542010,81.3,833490,796871,2021-09-10,1171543,68.02
Islas Canarias,2324760,574700,503700,133650,3536810,3055262,86.4,1644695,1572905,2021-09-10,2175952,72.29
Cantabria,666465,114900,125200,24950,931515,856808,92,467883,428020,2021-09-10,582905,73.43
Castilla y León,2817075,412400,481200,112850,3823525,3609168,94.4,1959707,1842296,2021-09-10,2394918,76.93
Castilla-La Mancha,2280195,446800,411700,101375,3240070,2909587,89.8,1588091,1482325,2021-09-10,2045221,72.48
Cataluña,8368460,1604900,1514300,375750,11863410,10650862,89.8,5776550,5505287,2021-09-10,7780479,70.76
Comunidad Valenciana,5719150,1213700,863900,307250,8104000,7351728,90.7,4010509,3786786,2021-09-10,5057353,74.88
Extremadura,1210445,218200,186000,51750,1666395,1638336,98.3,885410,836850,2021-09-10,1063987,78.65
Galicia,3102379,507400,573400,122700,4305879,4196907,97.5,2273521,2126193,2021-09-10,2701819,78.69
La Rioja,369785,67600,53300,15200,505885,459737,90.9,253465,239466,2021-09-10,319914,74.85
Comunidad de Madrid,7602579,1645800,1220900,381450,10850729,9356343,86.2,5190132,4838632,2021-09-10,6779888,71.37
Región de Murcia,1687865,398000,253100,68300,2407265,2144043,89.1,1161977,1102007,2021-09-10,1511251,72.92
Comunidad Foral de Navarra,734325,151500,136600,32750,1055175,946039,89.7,514394,493408,2021-09-10,661197,74.62
País Vasco,2484900,526100,444200,110850,3566050,3223182,90.4,1772377,1664223,2021-09-10,2220504,74.95
Ceuta,95580,22400,18100,4150,140230,106731,76.1,58932,54662,2021-09-10,84202,64.92
Melilla,96750,23500,15100,5750,141100,97507,69.1,54798,51574,2021-09-10,87076,59.23
España,52895871,10752730,9467700,2555760,75672061,68205694,90.1,37126744,35070311,2021-09-10,47450795,73.91
Andalucía,9306270,2019600,1805800,525450,13657120,12393078,90.7,6688316,6379575,2021-09-13,8464411,75.37
Aragón,1508445,275200,265100,64700,2113445,1929403,91.3,1048230,1002420,2021-09-13,1329391,75.4
Principado de Asturias,1200155,162000,235900,49700,1647755,1632477,99.1,866655,838075,2021-09-13,1018784,82.26
Islas Baleares,1272150,305100,256400,62400,1896050,1548892,81.7,834604,802954,2021-09-13,1171543,68.54
Islas Canarias,2324760,574700,503700,133650,3536810,3062180,86.6,1647019,1578286,2021-09-13,2175952,72.53
