Comunidad,Pfizer,Moderna,AstraZeneca,Janssen,Entregadas,Administradas,PercAdministradas,Personas1Dosis,Personas2Dosis,fecha,Poblacion,percvacunados
Cataluña,410120,31400,31800,NA,473320,376519,79.5,NA,152091,2021-02-12,7780479,1.95
Ceuta,4320,400,400,NA,5120,2697,52.7,NA,963,2021-02-12,84202,1.14
Comunidad de Madrid,333375,25400,27700,NA,386475,319144,82.6,NA,139553,2021-02-12,6779888,2.06
Comunidad Foral de Navarra,39345,2900,2700,NA,44945,39196,87.2,NA,14536,2021-02-12,661197,2.2
Comunidad Valenciana,207280,15700,20600,NA,243580,214010,87.9,NA,92433,2021-02-12,5057353,1.83
España,2528955,192000,193800,NA,2914755,2423045,83.13,NA,1000485,2021-02-12,47450795,2.11
Extremadura,74375,5400,4300,NA,84075,75603,89.9,NA,30501,2021-02-12,1063987,2.87
Galicia,128815,9800,11000,NA,149615,124733,83.4,NA,55187,2021-02-12,2701819,2.04
Islas Baleares,42480,3200,4800,NA,50480,40624,80.5,NA,16683,2021-02-12,1171543,1.42
Islas Canarias,93570,7000,8900,NA,109470,99316,90.7,NA,40779,2021-02-12,2175952,1.87
La Rioja,19955,1400,1300,NA,22655,19968,88.1,NA,8365,2021-02-12,319914,2.61
Melilla,3150,400,400,NA,3950,2647,67,NA,1083,2021-02-12,87076,1.24
País Vasco,107460,7900,9100,NA,124460,89883,72.2,NA,36125,2021-02-12,2220504,1.63
Principado de Asturias,83975,6300,4200,NA,94475,78446,83,NA,32946,2021-02-12,1018784,3.23
Región de Murcia,87305,6600,6200,NA,100105,84111,84,NA,32249,2021-02-12,1511251,2.13
Andalucía,475110,36300,34500,NA,545910,457018,83.7,NA,190867,2021-02-15,8464411,2.25
Aragón,81045,6300,5400,NA,92745,91343,98.5,NA,36979,2021-02-15,1329391,2.78
Cantabria,39345,2900,2400,NA,44645,42494,95.2,NA,18916,2021-02-15,582905,3.25
Castilla y León,177555,13500,9800,NA,200855,186398,92.8,NA,78271,2021-02-15,2394918,3.27
Castilla-La Mancha,120375,9200,8300,NA,137875,125951,91.4,NA,49378,2021-02-15,2045221,2.41
Cataluña,410120,31400,31800,NA,473320,402742,85.1,NA,162003,2021-02-15,7780479,2.08
Ceuta,4320,400,400,NA,5120,3522,68.8,NA,964,2021-02-15,84202,1.14
Comunidad de Madrid,333375,25400,27700,NA,386475,338333,87.5,NA,152696,2021-02-15,6779888,2.25
Comunidad Foral de Navarra,39345,2900,2700,NA,44945,40295,89.7,NA,15344,2021-02-15,661197,2.32
Comunidad Valenciana,207280,15700,20600,NA,243580,219822,90.2,NA,94255,2021-02-15,5057353,1.86
España,2528955,192000,193800,NA,2914755,2561608,87.88,NA,1070091,2021-02-15,47450795,2.26
Extremadura,74375,5400,4300,NA,84075,78038,92.8,NA,31116,2021-02-15,1063987,2.92
Galicia,128815,9800,11000,NA,149615,134518,89.9,NA,55343,2021-02-15,2701819,2.05
Islas Baleares,42480,3200,4800,NA,50480,43862,86.9,NA,18653,2021-02-15,1171543,1.59
Islas Canarias,93570,7000,8900,NA,109470,104706,95.6,NA,43371,2021-02-15,2175952,1.99
La Rioja,19955,1400,1300,NA,22655,21095,93.1,NA,8449,2021-02-15,319914,2.64
Melilla,3150,400,400,NA,3950,2822,71.4,NA,1084,2021-02-15,87076,1.24
País Vasco,107460,7900,9100,NA,124460,97787,78.6,NA,41483,2021-02-15,2220504,1.87
Principado de Asturias,83975,6300,4200,NA,94475,80484,85.2,NA,33466,2021-02-15,1018784,3.28
Región de Murcia,87305,6600,6200,NA,100105,90378,90.3,NA,37453,2021-02-15,1511251,2.48
Andalucía,475110,36300,34500,NA,545910,468983,85.9,NA,194477,2021-02-16,8464411,2.3
Aragón,81045,6300,5400,NA,92745,93512,100.8,NA,37628,2021-02-16,1329391,2.83
Cantabria,39345,2900,2400,NA,44645,43214,96.8,NA,19000,2021-02-16,582905,3.26
Castilla y León,177555,13500,9800,NA,200855,190381,94.8,NA,80091,2021-02-16,2394918,3.34
Castilla-La Mancha,120375,9200,8300,NA,137875,129772,94.1,NA,52826,2021-02-16,2045221,2.58
Cataluña,410120,31400,31800,NA,473320,416165,87.9,NA,166104,2021-02-16,7780479,2.13
Ceuta,4320,400,400,NA,5120,3759,73.4,NA,969,2021-02-16,84202,1.15
Comunidad de Madrid,333375,25400,27700,NA,386475,346408,89.6,NA,156682,2021-02-16,6779888,2.31
Comunidad Foral de Navarra,39345,2900,2700,NA,44945,41235,91.7,NA,16062,2021-02-16,661197,2.43
Comunidad Valenciana,207280,15700,20600,NA,243580,224560,92.2,NA,95559,2021-02-16,5057353,1.89
España,2528955,192000,193800,NA,2914755,2624512,90.04,NA,1096922,2021-02-16,47450795,2.31
